,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners,flagnull
162,Spain,ESP,5,31086.35,0.88200003,46.45500183105469,2.400000095367432,3.441691160202026,4.27092981338501,96.4586181640625,False
163,South Sudan,SSD,4,NaN,0.421,NaN,6.900000095367432,NaN,1.712970018386841,NaN,True
164,Sudan (2012-),SDN,4,NaN,0.48800001,NaN,8.800000190734863,NaN,NaN,NaN,True
165,Suriname,SUR,10,6049.1499,0.72299999,0.546999990940094,7.300000190734863,2.884561777114868,NaN,58.39226913452148,False
166,Swaziland,SWZ,4,4110.0498,0.54100001,1.105999946594238,6.900000095367432,3.79865288734436,7.049990177154541,36.21157836914063,False
167,Sweden,SWE,5,39000.91,0.90899998,9.645000457763672,1.5,4.577005863189697,7.675089836120606,96.65155792236328,False
168,Switzerland,CHE,5,50454.41,0.93800002,8.140000343322754,2.099999904632568,5.986858367919922,5.096079826354981,84.2464828491211,False
169,Syria,SYR,3,4284.4199,0.55299997,NaN,7.400000095367432,3.24616551399231,NaN,46.6161994934082,False
170,Tajikistan,TJK,1,3592.6499,0.625,8.131999969482422,6.300000190734863,3.840425491333008,5.232150077819824,83.22482299804688,False
171,Thailand,THA,7,9295.5703,0.73799998,68.65699768066406,4.099999904632568,3.44985032081604,4.128870010375977,83.64586639404297,False
172,Togo,TGO,4,1036.28,0.484,6.928999900817871,7.300000190734863,NaN,4.868460178375244,NaN,True
173,Tonga,TON,9,3962.0601,0.71799999,0.1040000021457672,NaN,NaN,NaN,75.42909240722656,True
174,Trinidad and Tobago,TTO,10,22089.16,0.77899998,1.353999972343445,7.5,4.182013988494873,NaN,NaN,False
175,United Arab Emirates,ARE,3,20310.109,0.83600003,NaN,2.5,5.27984094619751,NaN,NaN,False
176,Tunisia,TUN,3,6912.2798,0.72299999,NaN,5.5,3.721023797988892,6.250360012054443,NaN,False
177,Turkey,TUR,3,16900.711,0.764,77.69599914550781,3.700000047683716,3.422157049179077,4.766260147094727,87.16455078125,False
178,Turkmenistan,TKM,1,13217.39,0.68800002,NaN,5.099999904632568,NaN,3.055900096893311,NaN,True
179,Tuvalu,TUV,9,3174.05,NaN,0.0109999999403954,NaN,NaN,NaN,69.80497741699219,True
180,Uganda,UGA,4,1343.45,0.48800001,37.59999847412109,7.300000190734863,3.571631669998169,2.213870048522949,NaN,False
181,Ukraine,UKR,1,9326.7197,0.74800003,42.7599983215332,5.5,3.673648834228516,5.863540172576904,88.56585693359375,False
182,Macedonia,MKD,1,9610.5996,0.74599999,2.069000005722046,5.5,3.961112499237061,NaN,NaN,False
183,Egypt,EGY,3,5598.2598,0.68800002,86.69999694824219,4.699999809265137,2.187044858932495,NaN,81.85820770263672,False
184,United Kingdom,GBR,5,34791.051,0.90799999,64.59700012207031,2.099999904632568,4.633322238922119,5.734489917755127,98.2799835205078,False
185,Tanzania,TZA,4,1416.3,0.51899999,43.88000106811523,7.0,3.004210472106934,3.479140043258667,NaN,False
186,United States,USA,5,47769.699,0.91799998,318.7890014648438,1.5,4.564571380615234,5.380780220031738,90.46228790283205,False
187,Burkina Faso,BFA,4,1095.96,0.39899999,16.5,6.900000095367432,2.868712186813355,4.60476016998291,26.4928092956543,False
188,Uruguay,URY,2,12804.84,0.79400003,3.453999996185303,4.400000095367432,2.903504610061646,4.356939792633057,76.34809875488281,False
189,Uzbekistan,UZB,1,7370.7202,0.69700003,29.74600028991699,6.300000190734863,NaN,NaN,92.20738220214844,True
190,Venezuela,VEN,2,10513.96,0.76899999,NaN,5.199999809265137,2.640229225158691,NaN,74.78971099853516,False
191,Samoa,WSM,9,3167.75,0.70200002,0.1920000016689301,8.899999618530273,NaN,NaN,79.54598236083984,True
192,Yemen,YEM,3,2170.9299,0.49900001,NaN,7.5,1.896328449249268,NaN,41.72175979614258,False
193,Zambia,ZMB,4,1916.79,0.57599998,NaN,7.800000190734863,4.328835487365723,NaN,NaN,False
